Tempo	Nome do Dispositivo	Tipo	PID	Marca	Mensagem
07-14 23:00:13.802	Samsung SM-S918B	Info	1918	SurfaceFlinger	id=22753 Removed Surface(name=Task=2730#22710)/@0xf7f8cb6_transition-leash#22753 (203)
07-14 23:00:13.801	Samsung SM-S918B	Info	2712	DisplayDeviceRepository	Display device changed render timings: "Built-in Screen", renderFrameRate=60.000004, presentationDeadlineNanos=17666666, appVsyncOffsetNanos=0, frameRateOverrides=[]
07-14 23:00:13.800	Samsung SM-S918B	Debug	3976	ShellDesktopMode	AppToWebRepository: Task 2730 is vanishing. Removing task data from repository
07-14 23:00:13.800	Samsung SM-S918B	Debug	2712	LocalDisplayAdapter	updateActiveModeLocked for d=4630947093241269891, mActiveModeId=10, mActiveSfDisplayMode=DisplayMode{id=9, width=1080, height=2316, xDpi=375.78, yDpi=377.092, peakRefreshRate=60.000004, vsyncRate=60.000004, appVsyncOffsetNanos=16666666, presentationDeadlineNanos=17666666, supportedHdrTypes=[4, 2, 3], group=1080}
07-14 23:00:13.800	Samsung SM-S918B	Verbose	3976	ShellDesktopMode	Task Vanished: #2730 closed=true
07-14 23:00:13.800	Samsung SM-S918B	Verbose	3976	ShellTaskOrganizer	Fullscreen Task Vanished: #2730
07-14 23:00:13.800	Samsung SM-S918B	Verbose	3976	ShellTaskOrganizer	Task vanished taskId=2730
07-14 23:00:13.800	Samsung SM-S918B	Info	1918	SurfaceFlinger	id=22751 Removed Transition Root: Task=1#22751 (203)
07-14 23:00:13.799	Samsung SM-S918B	Debug	3976	HWUI	CacheManager::trimMemory(20)
07-14 23:00:13.799	Samsung SM-S918B	Info	4554	HoneySpace.AppTransitionAnimationAwait	proceed 1
07-14 23:00:13.799	Samsung SM-S918B	Debug	3976	CentralSurfaces	SYSUI_RAM_OPTIMIZATION onTrimMemory=20
07-14 23:00:13.799	Samsung SM-S918B	Debug	3976	SystemUIService	SYSUI_RAM_OPTIMIZATION onTrimMemory=20
07-14 23:00:13.798	Samsung SM-S918B	Info	1918	SurfaceFlinger	[Task=2730#22756] attach to parent Root
07-14 23:00:13.798	Samsung SM-S918B	Info	1918	SurfaceFlinger	[LayerHierarchy{RequestedLayerState{Task=2730#22710 parentId=10 z=17} 1 children}] reparent to LayerHierarchy{RequestedLayerState{DefaultTaskDisplayArea_d0#10 parentId=9} 20 children}
07-14 23:00:13.798	Samsung SM-S918B	Info	1918	SurfaceFlinger	[LayerHierarchy{RequestedLayerState{Transition Root: Task=1#22751} 2 children}] RelativeParent to null
07-14 23:00:13.798	Samsung SM-S918B	Info	1918	SurfaceFlinger	[LayerHierarchy{RequestedLayerState{Transition Root: Task=1#22751} 2 children}] reparent to OffscreenRoot
